customer_id,plan,quantity,purchase_date,total_spent
CTL001,Blue go s,1,2022-12-09,2000
CTL001,Blue go plus S,2,2022-05-07,30000
CTL001,Blue one xl,1,2022-06-22,10000
CTL001,Blue home s,1,2022-09-22,15000
CTL001,Blue go plus m,2,2022-11-30,50000
CTL001,Blue go xxl,1,2022-12-11,35000
CTL001,Blue one xl,2,2022-10-20,20000
CTL001,Blue go plus l,2,2022-05-04,80000
CTL001,Blue go l,2,2022-10-28,20000
CTL001,Blue go m,1,2022-10-14,5000
CTL001,Blue go xxl,1,2022-07-21,35000
CTL001,Blue one xl,2,2022-08-24,20000
CTL001,Blue go plus m,1,2022-04-02,25000
CTL002,Blue sky m,1,2022-05-31,20000
CTL002,Blue one m,1,2022-10-14,3000
CTL002,Blue one m,2,2022-09-23,6000
CTL002,Blue one m,2,2022-05-04,6000
CTL002,Blue go plus m,1,2022-08-31,25000
CTL002,Blue go plus l,1,2022-05-10,40000
CTL002,Blue home m,2,2022-04-12,50000
CTL002,Blue one xl,2,2022-08-16,20000
CTL003,Blue go plus S,1,2022-08-03,15000
CTL003,Blue one xl,1,2022-07-26,10000
CTL003,Blue go m,2,2022-11-01,10000
CTL003,Blue home m,1,2022-01-03,25000
CTL003,Blue go xxl,1,2022-05-17,35000
CTL003,Blue go s,1,2022-09-14,2000
CTL003,Blue go plus m,2,2022-03-17,50000
CTL003,Blue one s,2,2022-08-20,4000
CTL003,Blue go plus l,1,2022-07-12,40000
CTL003,Blue home l,2,2022-02-21,80000
CTL003,Blue go xl,2,2022-11-02,40000
CTL003,Blue go xxl,2,2022-08-26,70000
CTL003,Blue go plus l,2,2022-03-20,80000
CTL004,Blue sky l,2,2022-12-06,70000
CTL004,Blue home l,2,2022-04-08,80000
CTL004,Blue go l,2,2022-03-14,20000
CTL004,Blue go plus m,2,2022-07-26,50000
CTL004,Blue go plus m,2,2022-03-07,50000
CTL004,Blue one xl,2,2022-09-04,20000
CTL004,Blue one m,2,2022-08-04,6000
CTL004,Blue go xxl,2,2022-02-20,70000
CTL004,Blue go plus m,1,2022-12-27,25000
CTL005,Blue go xxl,1,2022-05-24,35000
CTL005,Blue go l,1,2022-05-03,10000
CTL005,Blue go plus m,1,2022-12-26,25000
CTL005,Blue home l,2,2022-05-16,80000
CTL005,Blue one m,2,2022-05-06,6000
CTL005,Blue go plus S,2,2022-11-27,30000
CTL005,Blue one xl,1,2022-08-28,10000
CTL005,Blue go xl,1,2022-12-02,20000
CTL005,Blue go xl,2,2022-07-29,40000
CTL006,Blue go plus S,2,2022-09-18,30000
CTL006,Blue one xl,1,2022-07-26,10000
CTL006,Blue go m,1,2022-06-25,5000
CTL006,Blue go plus S,1,2022-07-19,15000
CTL006,Blue go xxl,2,2022-01-16,70000
CTL006,Blue one l,1,2022-01-18,5000
CTL006,Blue one m,2,2022-11-15,6000
CTL006,Blue home l,1,2022-05-08,40000
CTL006,Blue go plus m,2,2022-01-02,50000
CTL006,Blue one s,1,2022-01-31,2000
CTL006,Blue one s,1,2022-03-05,2000
